ID Sector,Sector,ID University,University,ID Year,Year,Completions,Slug University,Geography,ID Geography,Slug Geography
2,"Private not-for-profit, 4-year or above","166869","MGH Institute of Health Professions",2016,"2016",499,"mgh-institute-of-health-professions","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167093","New England College of Optometry",2016,"2016",128,"new-england-college-of-optometry","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165884","Benjamin Franklin Institute of Technology",2016,"2016",180,"benjamin-franklin-institute-of-technology","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164748","Berklee College of Music",2016,"2016",1443,"berklee-college-of-music","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164872","Boston Architectural College",2016,"2016",196,"boston-architectural-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166984","School of the Museum of Fine Arts at Tufts University",2016,"2016",210,"school-of-the-museum-of-fine-arts-at-tufts-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167057","The New England Conservatory of Music",2016,"2016",276,"the-new-england-conservatory-of-music","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167215","New England Law-Boston",2016,"2016",210,"new-england-law-boston","Boston, MA","16000US2507000","boston-ma"
3,"Private for-profit, 4-year or above","164641","Bay State College (164641)",2016,"2016",286,"bay-state-college","Boston, MA","16000US2507000","boston-ma"
3,"Private for-profit, 4-year or above","164438","New England College of Business and Finance",2016,"2016",265,"new-england-college-of-business-and-finance","Boston, MA","16000US2507000","boston-ma"
4,"Public, 2-year","167631","Roxbury Community College",2016,"2016",305,"roxbury-community-college","Boston, MA","16000US2507000","boston-ma"
4,"Public, 2-year","165112","Bunker Hill Community College",2016,"2016",1608,"bunker-hill-community-college","Boston, MA","16000US2507000","boston-ma"
5,"Private not-for-profit, 2-year","167297","North Bennet Street School",2016,"2016",103,"north-bennet-street-school","Boston, MA","16000US2507000","boston-ma"
5,"Private not-for-profit, 2-year","429128","Urban College of Boston",2016,"2016",177,"urban-college-of-boston","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","164845","Empire Beauty School-Boston",2016,"2016",129,"empire-beauty-school-boston","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","484057","Jupiter Beauty Academy",2016,"2016",280,"jupiter-beauty-academy","Boston, MA","16000US2507000","boston-ma"
9,"Private for-profit, less-than 2-year","487144","American Academy of Personal Training-Boston Campus",2016,"2016",101,"american-academy-of-personal-training-boston-campus","Boston, MA","16000US2507000","boston-ma"
1,"Public, 4-year or above","166638","University of Massachusetts-Boston",2015,"2015",3990,"university-of-massachusetts-boston","Boston, MA","16000US2507000","boston-ma"
